Timepoints,Liver signal,AIF
38787.538,341.603,179.184
38789.715,338.023,185.375
38791.895,340.034,174.317
38794.075,343.3,176.319
38796.253,340.797,182.668
38798.432,336.13,178.268
38800.613,338.61,186.868
38802.79,343.331,191.928
38804.97,338.952,185.212
38807.148,337.897,173.913
38809.327,343.406,185.688
38811.508,335.325,179.513
38813.685,337.483,178.624
38815.865,344.723,185.541
38818.045,332.018,188.997
38820.223,337.612,187.31
38822.402,345.996,181.44
38824.58,336.643,183.831
38826.76,339.888,186.884
38828.94,337.313,188.664
38831.117,341.317,177.908
38833.298,336.748,189.513
38835.477,337.433,186.662
38837.655,336.761,188.993
38839.835,340.228,175.644
38842.015,342.81,187.972
38844.193,339.951,177.659
38846.372,344.891,192.025
38848.55,340.384,177.974
38850.73,344.285,190.122
38852.91,336.755,183.499
38855.087,339.238,177.998
38857.268,336.255,187.853
38859.447,348.593,188.473
38861.625,336.684,182.11
38863.805,341.958,187
38870.137,351.364,179.051
38872.318,341.51,173.208
38874.497,348.488,196.499
38876.675,343.45,175.516
38878.855,342.623,190.439
38881.035,342.651,182.669
38883.212,345.285,177.583
38885.393,342.291,181.601
38887.57,343.21,176.016
38889.75,349.379,188.046
38891.93,342.278,193.167
38894.107,345.147,173.515
38896.288,343.267,179.363
38898.467,345.071,178.781
38900.645,345.361,182.064
38902.825,350.854,183.15
38905.005,340.78,189.09
38907.182,345.058,179.874
38909.363,341.844,181.012
38911.54,341.357,183.387
38913.72,339.322,183.844
38915.9,336.819,186.527
38918.077,342.268,182.74
38920.258,343.508,185.504
38922.438,347.611,191.166
38924.615,341.5,187.611
38926.795,347.577,185.087
38928.973,341.933,192.302
38931.152,342.495,184.057
38933.333,339.334,182.817
38935.51,343.857,179.162
38937.69,340.442,177.048
38939.87,350.557,184.888
38942.048,339.757,180.235
38944.227,340.662,172.849
38946.408,348.879,177.028
38948.585,340.144,182.127
38950.765,348.089,187.418
38952.943,339.812,172.158
38955.122,343.693,188.435
38957.303,346.953,178.013
38959.48,346.786,185.964
38961.66,344.791,178.256
38963.84,348.193,186.872
38966.018,338.736,183.646
38968.197,336.92,181.006
38970.378,338.152,174.692
38972.555,346.122,187.756
38974.735,343.333,177.896
38976.913,335.348,196.375
38979.092,340.108,185.271
38981.273,343.768,172.471
38983.45,347.598,195.665
38985.63,341.988,171.153
38987.81,342.948,175.942
38989.988,345.642,181.81
38992.167,341.898,168.397
38994.345,349.033,183.996
38996.525,341.008,177.403
38998.705,344.579,171.569
39000.883,340.217,182.356
39003.062,341.398,181.957
39005.242,339.584,177.431
39007.42,341.687,180.278
39009.6,338.465,182.184
39011.78,336.701,170.181
39013.958,346.983,201.819
39016.137,341.732,178.626
39018.315,347.31,184.602
39020.495,337.547,171.881
39022.675,347.578,182.499
39024.852,339.34,181.401
39027.033,348.832,187.981
39029.212,341.717,189.66
39031.39,337.255,180.727
39033.57,340.602,165.83
39035.747,336.558,183.75
39037.928,341.921,176.366
39040.107,339.144,179.706
39042.285,341.651,174.991
39044.465,338.902,177.099
39046.645,340.101,184.772
39048.822,337.107,187.11
39051.003,339.759,170.486
39053.182,339.222,181.94
39055.36,338.144,176.251
39057.54,337.193,185.843
39059.717,337.78,178.185
39061.898,342.049,185.52
39064.077,337.705,189.354
39066.255,339.915,182.116
39068.435,340.974,172.375
39070.615,342.045,195.805
39072.792,339.314,181.793
39074.973,343.612,197.562
39077.15,345.748,180.376
39079.33,342.829,176.394
39081.51,345.383,176.848
39083.688,342.747,181.35
39085.867,347.244,191.028
39088.048,339.509,192.508
